"vpnr" "group" "alter" "sex" "hand" "fach" "sprache" "color" "cs" "rep" "wort" "istwort" "istpositiv" "uspositiv" "istmaskiert" "us0" "us1" "us2" "us3" "us4" "liking0" "liking1" "liking2" "valenz_response" "valenz_rt" "sichtbar_response_pos" "sichtbar_response" "sichtbar_response_text" "sichtbar_korrekt" "sichtbar_rt"
"43" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 2 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 2225 6 15 "jaciyn" -1 12573
"44" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 3 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 543 20 4 "ubajec" 1 5621
"45" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 4 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 740 20 4 "ubajec" 1 996
"46" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 5 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 650 20 4 "ubajec" 1 739
"47" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 6 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 635 20 4 "ubajec" 1 1003
"48" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 7 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 1334 20 4 "ubajec" 1 803
"49" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 8 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 1 714 20 4 "ubajec" 1 1023
"50" "1" 1 20 1 2 1 1 "LEHRAMTS" 4 9 "ubajec" 0 -1 0 0 7 20 19 5 22 6 6 6 0 1557 20 4 "ubajec" 1 967
"51" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 0 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 1 969 16 5 "pimuide" 1 4027
"52" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 1 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 1 5587 16 5 "pimuide" 1 1246
"53" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 2 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 0 1248 16 5 "pimuide" 1 15557
"54" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 3 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 1 797 16 5 "pimuide" 1 1409
"55" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 4 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 0 981 16 5 "pimuide" 1 1821
"56" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 5 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 1 1624 16 5 "pimuide" 1 1781
"57" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 6 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 1 568 16 5 "pimuide" 1 4109
"58" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 7 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 1 560 16 5 "pimuide" 1 1260
"59" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 8 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 0 1001 16 5 "pimuide" 1 830
"60" "1" 1 20 1 2 1 1 "LEHRAMTS" 5 9 "pimuide" 0 -1 0 0 5 0 24 12 17 4 1 4 1 714 16 5 "pimuide" 1 876
"61" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 0 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 758 7 20 "kiwehon" 0 1391
"62" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 1 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 753 22 9 "uwimor" 0 975
"63" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 2 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 4078 21 22 "umeuken" 0 746
"64" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 3 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 1105 12 8 "nalber" 0 1342
"65" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 4 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 1748 8 10 "larnist" 0 1732
"66" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 5 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 468 21 22 "umeuken" 0 1570
"67" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 6 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 4866 10 12 "medan" 0 1856
"68" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 7 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 11092 4 21 "hilejin" 0 2883
"69" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 8 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 701 13 19 "noste" 0 572
"70" "1" 1 20 1 2 1 1 "LEHRAMTS" 6 9 "botuyn" 0 -1 0 1 1 18 16 2 21 2 2 2 1 788 20 4 "ubajec" 0 817
"71" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 0 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 939 9 7 "laumens" 1 3770
"72" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 1 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 1661 13 19 "noste" 0 1354
"73" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 2 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 1012 5 18 "hiwawa" -1 2936
"74" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 3 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 371 4 21 "hilejin" -1 1876
"75" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 4 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 2255 21 22 "umeuken" 0 1288
"76" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 5 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 1031 7 20 "kiwehon" -1 2100
"77" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 6 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 1188 21 22 "umeuken" 0 1114
"78" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 7 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 646 3 11 "furasti" -1 1087
"79" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 8 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 896 9 7 "laumens" 1 971
"80" "1" 1 20 1 2 1 1 "LEHRAMTS" 7 9 "laumens" 0 -1 0 1 3 15 7 22 8 6 6 7 1 964 7 20 "kiwehon" -1 1550
"81" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 0 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 1988 7 20 "kiwehon" -1 1607
"82" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 1 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 789 4 21 "hilejin" -1 1761
"83" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 2 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 952 13 19 "noste" 0 1127
"84" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 3 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 781 16 5 "pimuide" 0 2660
"85" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 4 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 775 9 7 "laumens" -1 3573
"86" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 5 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 617 13 19 "noste" 0 2967
"87" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 6 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 911 4 21 "hilejin" -1 902
"88" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 7 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 718 16 5 "pimuide" 0 2076
"89" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 8 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 1131 3 11 "furasti" -1 1086
"90" "1" 1 20 1 2 1 1 "LEHRAMTS" 8 9 "nalber" 0 -1 0 1 20 4 13 10 23 4 3 5 1 807 21 22 "umeuken" 0 1025
"91" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 0 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 0 3561 1 6 "botuyn" -1 17794
"92" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 1 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 1728 2 13 "frask" -1 984
"93" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 2 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 1494 8 10 "larnist" -1 887
"94" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 3 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 956 1 6 "botuyn" -1 2566
"95" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 4 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 1440 19 23 "tewok" -1 286
"96" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 5 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 1019 1 6 "botuyn" -1 900
"97" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 6 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 619 5 18 "hiwawa" -1 1714
"98" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 7 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 722 18 14 "sleshen" -1 1007
"99" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 8 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 1007 8 10 "larnist" -1 1565
"100" "1" 1 20 1 2 1 1 "LEHRAMTS" 9 9 "uwimor" 0 -1 0 1 19 14 6 9 11 3 4 3 1 2971 18 14 "sleshen" -1 803
"101" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 0 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 1244 21 22 "umeuken" 0 1675
"102" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 1 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 1481 6 15 "jaciyn" -1 10031
"103" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 2 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 607 7 20 "kiwehon" -1 822
"104" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 3 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 920 5 18 "hiwawa" -1 2087
"105" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 4 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 826 4 21 "hilejin" -1 3419
"106" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 5 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 665 14 17 "obacu" 0 1421
"107" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 6 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 760 19 23 "tewok" 0 791
"108" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 7 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 818 21 22 "umeuken" 0 1084
"109" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 8 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 1517 7 20 "kiwehon" -1 1181
"110" "1" 1 20 1 2 1 1 "LEHRAMTS" 10 9 "larnist" 0 -1 0 1 16 12 14 20 1 6 6 6 1 1121 23 16 "yosud" 0 1563
"111" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 0 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 1040 6 15 "jaciyn" 0 1455
"112" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 1 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 3214 22 9 "uwimor" 0 1599
"113" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 2 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 752 13 19 "noste" 0 1335
"114" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 3 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 517 3 11 "furasti" 1 1309
"115" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 4 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 1647 9 7 "laumens" 0 1699
"116" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 5 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 1406 15 1 "permife" 0 2022
"117" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 6 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 843 13 19 "noste" 0 627
"118" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 7 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 1448 3 11 "furasti" 1 3641
"119" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 8 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 1413 20 4 "ubajec" 0 6777
"120" "1" 1 20 1 2 1 1 "LEHRAMTS" 11 9 "furasti" 0 -1 0 1 10 8 5 21 13 2 3 1 1 551 4 21 "hilejin" 0 1443
"121" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 0 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 1490 10 12 "medan" 1 2061
"122" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 1 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 584 10 12 "medan" 1 1335
"123" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 2 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 781 10 12 "medan" 1 1916
"124" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 3 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 1151 10 12 "medan" 1 1907
"125" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 4 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 1787 10 12 "medan" 1 2014
"126" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 5 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 1171 10 12 "medan" 1 2510
"127" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 6 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 523 10 12 "medan" 1 2480
"128" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 7 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 889 10 12 "medan" 1 1103
"129" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 8 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 961 10 12 "medan" 1 1161
"130" "1" 1 20 1 2 1 1 "LEHRAMTS" 12 9 "medan" 0 -1 1 0 18 8 21 17 4 8 7 8 0 1779 10 12 "medan" 1 836
"131" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 0 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 1 1008 11 3 "molkate" 0 3465
"132" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 1 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 813 2 13 "frask" 1 1092
"133" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 2 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 813 2 13 "frask" 1 789
"134" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 3 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 830 2 13 "frask" 1 1058
"135" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 4 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 1228 2 13 "frask" 1 1100
"136" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 5 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 858 2 13 "frask" 1 871
"137" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 6 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 905 10 12 "medan" 0 12908
"138" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 7 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 1082 2 13 "frask" 1 1128
"139" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 8 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 637 2 13 "frask" 1 667
"140" "1" 1 20 1 2 1 1 "LEHRAMTS" 13 9 "frask" 0 -1 1 0 19 6 3 22 1 3 2 3 0 741 2 13 "frask" 1 1079
"141" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 0 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 1698 18 14 "sleshen" 1 2712
"142" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 1 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 1481 18 14 "sleshen" 1 2105
"143" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 2 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 898 18 14 "sleshen" 1 1758
"144" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 3 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 627 18 14 "sleshen" 1 2148
"145" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 4 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 3103 18 14 "sleshen" 1 1797
"146" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 5 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 862 18 14 "sleshen" 1 1828
"147" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 6 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 435 18 14 "sleshen" 1 890
"148" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 7 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 2178 18 14 "sleshen" 1 1570
"149" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 8 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 596 18 14 "sleshen" 1 981
"150" "1" 1 20 1 2 1 1 "LEHRAMTS" 14 9 "sleshen" 0 -1 1 0 15 10 23 5 13 4 3 4 0 807 18 14 "sleshen" 1 2170
"151" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 0 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 1 3414 3 11 "furasti" -1 6678
"152" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 1 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 2291 19 23 "tewok" 0 4481
"153" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 2 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 606 6 15 "jaciyn" 1 2982
"154" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 3 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 1207 6 15 "jaciyn" 1 1315
"155" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 4 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 2051 6 15 "jaciyn" 1 1365
"156" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 5 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 873 6 15 "jaciyn" 1 1216
"157" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 6 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 1260 6 15 "jaciyn" 1 1675
"158" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 7 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 891 6 15 "jaciyn" 1 1255
"159" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 8 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 1052 6 15 "jaciyn" 1 2092
"160" "1" 1 20 1 2 1 1 "LEHRAMTS" 15 9 "jaciyn" 0 -1 1 0 16 0 2 9 24 5 6 5 0 791 6 15 "jaciyn" 1 2302
"161" "1" 1 20 1 2 1 1 "LEHRAMTS" 16 0 "yosud" 0 -1 1 0 20 12 14 7 11 6 4 5 0 1231 2 13 "frask" -1 3940
